1 : 300 - [0, 83, 51, 56, 60, 50, 0, 0, 0]
2 : 300 - [83, 51, 56, 60, 50, 0, 0, 83, 0]
3 : 383 - [51, 56, 60, 50, 0, 0, 83, 51, 83]
4 : 434 - [56, 60, 50, 0, 0, 83, 51, 139, 51]
5 : 490 - [60, 50, 0, 0, 83, 51, 139, 111, 56]
6 : 550 - [50, 0, 0, 83, 51, 139, 111, 106, 60]
7 : 600 - [0, 0, 83, 51, 139, 111, 106, 60, 50]
8 : 600 - [0, 83, 51, 139, 111, 106, 60, 50, 0]
9 : 600 - [83, 51, 139, 111, 106, 60, 50, 83, 0]
10 : 683 - [51, 139, 111, 106, 60, 50, 83, 51, 83]
11 : 734 - [139, 111, 106, 60, 50, 83, 51, 222, 51]
12 : 873 - [111, 106, 60, 50, 83, 51, 222, 162, 139]
13 : 984 - [106, 60, 50, 83, 51, 222, 162, 245, 111]
14 : 1090 - [60, 50, 83, 51, 222, 162, 245, 171, 106]
15 : 1150 - [50, 83, 51, 222, 162, 245, 171, 156, 60]
16 : 1200 - [83, 51, 222, 162, 245, 171, 156, 143, 50]
17 : 1283 - [51, 222, 162, 245, 171, 156, 143, 101, 83]
18 : 1334 - [222, 162, 245, 171, 156, 143, 101, 305, 51]
19 : 1556 - [162, 245, 171, 156, 143, 101, 305, 213, 222]
20 : 1718 - [245, 171, 156, 143, 101, 305, 213, 467, 162]
21 : 1963 - [171, 156, 143, 101, 305, 213, 467, 333, 245]
22 : 2134 - [156, 143, 101, 305, 213, 467, 333, 401, 171]
23 : 2290 - [143, 101, 305, 213, 467, 333, 401, 314, 156]
24 : 2433 - [101, 305, 213, 467, 333, 401, 314, 257, 143]
25 : 2534 - [305, 213, 467, 333, 401, 314, 257, 448, 101]
26 : 2839 - [213, 467, 333, 401, 314, 257, 448, 314, 305]
27 : 3052 - [467, 333, 401, 314, 257, 448, 314, 772, 213]
28 : 3519 - [333, 401, 314, 257, 448, 314, 772, 546, 467]
29 : 3852 - [401, 314, 257, 448, 314, 772, 546, 868, 333]
30 : 4253 - [314, 257, 448, 314, 772, 546, 868, 647, 401]
31 : 4567 - [257, 448, 314, 772, 546, 868, 647, 658, 314]
32 : 4824 - [448, 314, 772, 546, 868, 647, 658, 762, 257]
33 : 5272 - [314, 772, 546, 868, 647, 658, 762, 571, 448]
34 : 5586 - [772, 546, 868, 647, 658, 762, 571, 1220, 314]
35 : 6358 - [546, 868, 647, 658, 762, 571, 1220, 860, 772]
36 : 6904 - [868, 647, 658, 762, 571, 1220, 860, 1640, 546]
37 : 7772 - [647, 658, 762, 571, 1220, 860, 1640, 1193, 868]
38 : 8419 - [658, 762, 571, 1220, 860, 1640, 1193, 1526, 647]
39 : 9077 - [762, 571, 1220, 860, 1640, 1193, 1526, 1409, 658]
40 : 9839 - [571, 1220, 860, 1640, 1193, 1526, 1409, 1229, 762]
41 : 10410 - [1220, 860, 1640, 1193, 1526, 1409, 1229, 1982, 571]
42 : 11630 - [860, 1640, 1193, 1526, 1409, 1229, 1982, 1431, 1220]
43 : 12490 - [1640, 1193, 1526, 1409, 1229, 1982, 1431, 2860, 860]
44 : 14130 - [1193, 1526, 1409, 1229, 1982, 1431, 2860, 2053, 1640]
45 : 15323 - [1526, 1409, 1229, 1982, 1431, 2860, 2053, 3166, 1193]
46 : 16849 - [1409, 1229, 1982, 1431, 2860, 2053, 3166, 2602, 1526]
47 : 18258 - [1229, 1982, 1431, 2860, 2053, 3166, 2602, 2755, 1409]
48 : 19487 - [1982, 1431, 2860, 2053, 3166, 2602, 2755, 3391, 1229]
49 : 21469 - [1431, 2860, 2053, 3166, 2602, 2755, 3391, 2660, 1982]
50 : 22900 - [2860, 2053, 3166, 2602, 2755, 3391, 2660, 4842, 1431]
51 : 25760 - [2053, 3166, 2602, 2755, 3391, 2660, 4842, 3484, 2860]
52 : 27813 - [3166, 2602, 2755, 3391, 2660, 4842, 3484, 6026, 2053]
53 : 30979 - [2602, 2755, 3391, 2660, 4842, 3484, 6026, 4655, 3166]
54 : 33581 - [2755, 3391, 2660, 4842, 3484, 6026, 4655, 5921, 2602]
55 : 36336 - [3391, 2660, 4842, 3484, 6026, 4655, 5921, 5993, 2755]
56 : 39727 - [2660, 4842, 3484, 6026, 4655, 5921, 5993, 5415, 3391]
57 : 42387 - [4842, 3484, 6026, 4655, 5921, 5993, 5415, 8233, 2660]
58 : 47229 - [3484, 6026, 4655, 5921, 5993, 5415, 8233, 6144, 4842]
59 : 50713 - [6026, 4655, 5921, 5993, 5415, 8233, 6144, 10868, 3484]
60 : 56739 - [4655, 5921, 5993, 5415, 8233, 6144, 10868, 8139, 6026]
61 : 61394 - [5921, 5993, 5415, 8233, 6144, 10868, 8139, 11947, 4655]
62 : 67315 - [5993, 5415, 8233, 6144, 10868, 8139, 11947, 10648, 5921]
63 : 73308 - [5415, 8233, 6144, 10868, 8139, 11947, 10648, 11336, 5993]
64 : 78723 - [8233, 6144, 10868, 8139, 11947, 10648, 11336, 14226, 5415]
65 : 86956 - [6144, 10868, 8139, 11947, 10648, 11336, 14226, 11559, 8233]
66 : 93100 - [10868, 8139, 11947, 10648, 11336, 14226, 11559, 19101, 6144]
67 : 103968 - [8139, 11947, 10648, 11336, 14226, 11559, 19101, 14283, 10868]
68 : 112107 - [11947, 10648, 11336, 14226, 11559, 19101, 14283, 22815, 8139]
69 : 124054 - [10648, 11336, 14226, 11559, 19101, 14283, 22815, 18787, 11947]
70 : 134702 - [11336, 14226, 11559, 19101, 14283, 22815, 18787, 23283, 10648]
71 : 146038 - [14226, 11559, 19101, 14283, 22815, 18787, 23283, 24874, 11336]
72 : 160264 - [11559, 19101, 14283, 22815, 18787, 23283, 24874, 22895, 14226]
73 : 171823 - [19101, 14283, 22815, 18787, 23283, 24874, 22895, 33327, 11559]
74 : 190924 - [14283, 22815, 18787, 23283, 24874, 22895, 33327, 25842, 19101]
75 : 205207 - [22815, 18787, 23283, 24874, 22895, 33327, 25842, 41916, 14283]
76 : 228022 - [18787, 23283, 24874, 22895, 33327, 25842, 41916, 33070, 22815]
77 : 246809 - [23283, 24874, 22895, 33327, 25842, 41916, 33070, 46098, 18787]
78 : 270092 - [24874, 22895, 33327, 25842, 41916, 33070, 46098, 43661, 23283]
79 : 294966 - [22895, 33327, 25842, 41916, 33070, 46098, 43661, 46178, 24874]
80 : 317861 - [33327, 25842, 41916, 33070, 46098, 43661, 46178, 58201, 22895]
81 : 351188 - [25842, 41916, 33070, 46098, 43661, 46178, 58201, 48737, 33327]
82 : 377030 - [41916, 33070, 46098, 43661, 46178, 58201, 48737, 75243, 25842]
83 : 418946 - [33070, 46098, 43661, 46178, 58201, 48737, 75243, 58912, 41916]
84 : 452016 - [46098, 43661, 46178, 58201, 48737, 75243, 58912, 88014, 33070]
85 : 498114 - [43661, 46178, 58201, 48737, 75243, 58912, 88014, 76731, 46098]
86 : 541775 - [46178, 58201, 48737, 75243, 58912, 88014, 76731, 92276, 43661]
87 : 587953 - [58201, 48737, 75243, 58912, 88014, 76731, 92276, 101862, 46178]
88 : 646154 - [48737, 75243, 58912, 88014, 76731, 92276, 101862, 94915, 58201]
89 : 694891 - [75243, 58912, 88014, 76731, 92276, 101862, 94915, 133444, 48737]
90 : 770134 - [58912, 88014, 76731, 92276, 101862, 94915, 133444, 107649, 75243]
91 : 829046 - [88014, 76731, 92276, 101862, 94915, 133444, 107649, 163257, 58912]
92 : 917060 - [76731, 92276, 101862, 94915, 133444, 107649, 163257, 135643, 88014]
93 : 993791 - [92276, 101862, 94915, 133444, 107649, 163257, 135643, 180290, 76731]
94 : 1086067 - [101862, 94915, 133444, 107649, 163257, 135643, 180290, 178593, 92276]
95 : 1187929 - [94915, 133444, 107649, 163257, 135643, 180290, 178593, 187191, 101862]
96 : 1282844 - [133444, 107649, 163257, 135643, 180290, 178593, 187191, 235306, 94915]
97 : 1416288 - [107649, 163257, 135643, 180290, 178593, 187191, 235306, 202564, 133444]
98 : 1523937 - [163257, 135643, 180290, 178593, 187191, 235306, 202564, 296701, 107649]
99 : 1687194 - [135643, 180290, 178593, 187191, 235306, 202564, 296701, 243292, 163257]
100 : 1822837 - [180290, 178593, 187191, 235306, 202564, 296701, 243292, 343547, 135643]
101 : 2003127 - [178593, 187191, 235306, 202564, 296701, 243292, 343547, 314236, 180290]
102 : 2181720 - [187191, 235306, 202564, 296701, 243292, 343547, 314236, 367481, 178593]
103 : 2368911 - [235306, 202564, 296701, 243292, 343547, 314236, 367481, 413899, 187191]
104 : 2604217 - [202564, 296701, 243292, 343547, 314236, 367481, 413899, 389755, 235306]
105 : 2806781 - [296701, 243292, 343547, 314236, 367481, 413899, 389755, 532007, 202564]
106 : 3103482 - [243292, 343547, 314236, 367481, 413899, 389755, 532007, 445856, 296701]
107 : 3346774 - [343547, 314236, 367481, 413899, 389755, 532007, 445856, 640248, 243292]
108 : 3690321 - [314236, 367481, 413899, 389755, 532007, 445856, 640248, 557528, 343547]
109 : 4004557 - [367481, 413899, 389755, 532007, 445856, 640248, 557528, 711028, 314236]
110 : 4372038 - [413899, 389755, 532007, 445856, 640248, 557528, 711028, 728135, 367481]
111 : 4785937 - [389755, 532007, 445856, 640248, 557528, 711028, 728135, 757236, 413899]
112 : 5175692 - [532007, 445856, 640248, 557528, 711028, 728135, 757236, 945906, 389755]
113 : 5707699 - [445856, 640248, 557528, 711028, 728135, 757236, 945906, 835611, 532007]
114 : 6153555 - [640248, 557528, 711028, 728135, 757236, 945906, 835611, 1172255, 445856]
115 : 6793803 - [557528, 711028, 728135, 757236, 945906, 835611, 1172255, 1003384, 640248]
116 : 7351331 - [711028, 728135, 757236, 945906, 835611, 1172255, 1003384, 1351276, 557528]
117 : 8062359 - [728135, 757236, 945906, 835611, 1172255, 1003384, 1351276, 1285663, 711028]
118 : 8790494 - [757236, 945906, 835611, 1172255, 1003384, 1351276, 1285663, 1468264, 728135]
119 : 9547730 - [945906, 835611, 1172255, 1003384, 1351276, 1285663, 1468264, 1674041, 757236]
120 : 10493636 - [835611, 1172255, 1003384, 1351276, 1285663, 1468264, 1674041, 1592847, 945906]
121 : 11329247 - [1172255, 1003384, 1351276, 1285663, 1468264, 1674041, 1592847, 2118161, 835611]
122 : 12501502 - [1003384, 1351276, 1285663, 1468264, 1674041, 1592847, 2118161, 1838995, 1172255]
123 : 13504886 - [1351276, 1285663, 1468264, 1674041, 1592847, 2118161, 1838995, 2523531, 1003384]
124 : 14856162 - [1285663, 1468264, 1674041, 1592847, 2118161, 1838995, 2523531, 2289047, 1351276]
125 : 16141825 - [1468264, 1674041, 1592847, 2118161, 1838995, 2523531, 2289047, 2819540, 1285663]
126 : 17610089 - [1674041, 1592847, 2118161, 1838995, 2523531, 2289047, 2819540, 2959704, 1468264]
127 : 19284130 - [1592847, 2118161, 1838995, 2523531, 2289047, 2819540, 2959704, 3061111, 1674041]
128 : 20876977 - [2118161, 1838995, 2523531, 2289047, 2819540, 2959704, 3061111, 3792202, 1592847]
129 : 22995138 - [1838995, 2523531, 2289047, 2819540, 2959704, 3061111, 3792202, 3431842, 2118161]
130 : 24834133 - [2523531, 2289047, 2819540, 2959704, 3061111, 3792202, 3431842, 4641692, 1838995]
131 : 27357664 - [2289047, 2819540, 2959704, 3061111, 3792202, 3431842, 4641692, 4128042, 2523531]
132 : 29646711 - [2819540, 2959704, 3061111, 3792202, 3431842, 4641692, 4128042, 5343071, 2289047]
133 : 32466251 - [2959704, 3061111, 3792202, 3431842, 4641692, 4128042, 5343071, 5248751, 2819540]
134 : 35425955 - [3061111, 3792202, 3431842, 4641692, 4128042, 5343071, 5248751, 5880651, 2959704]
135 : 38487066 - [3792202, 3431842, 4641692, 4128042, 5343071, 5248751, 5880651, 6751906, 3061111]
136 : 42279268 - [3431842, 4641692, 4128042, 5343071, 5248751, 5880651, 6751906, 6492953, 3792202]
137 : 45711110 - [4641692, 4128042, 5343071, 5248751, 5880651, 6751906, 6492953, 8433894, 3431842]
138 : 50352802 - [4128042, 5343071, 5248751, 5880651, 6751906, 6492953, 8433894, 7559884, 4641692]
139 : 54480844 - [5343071, 5248751, 5880651, 6751906, 6492953, 8433894, 7559884, 9984763, 4128042]
140 : 59823915 - [5248751, 5880651, 6751906, 6492953, 8433894, 7559884, 9984763, 9376793, 5343071]
141 : 65072666 - [5880651, 6751906, 6492953, 8433894, 7559884, 9984763, 9376793, 11223722, 5248751]
142 : 70953317 - [6751906, 6492953, 8433894, 7559884, 9984763, 9376793, 11223722, 12000657, 5880651]
143 : 77705223 - [6492953, 8433894, 7559884, 9984763, 9376793, 11223722, 12000657, 12373604, 6751906]
144 : 84198176 - [8433894, 7559884, 9984763, 9376793, 11223722, 12000657, 12373604, 15185800, 6492953]
145 : 92632070 - [7559884, 9984763, 9376793, 11223722, 12000657, 12373604, 15185800, 14052837, 8433894]
146 : 100191954 - [9984763, 9376793, 11223722, 12000657, 12373604, 15185800, 14052837, 18418657, 7559884]
147 : 110176717 - [9376793, 11223722, 12000657, 12373604, 15185800, 14052837, 18418657, 16936677, 9984763]
148 : 119553510 - [11223722, 12000657, 12373604, 15185800, 14052837, 18418657, 16936677, 21208485, 9376793]
149 : 130777232 - [12000657, 12373604, 15185800, 14052837, 18418657, 16936677, 21208485, 21377450, 11223722]
150 : 142777889 - [12373604, 15185800, 14052837, 18418657, 16936677, 21208485, 21377450, 23597326, 12000657]
151 : 155151493 - [15185800, 14052837, 18418657, 16936677, 21208485, 21377450, 23597326, 27186457, 12373604]
152 : 170337293 - [14052837, 18418657, 16936677, 21208485, 21377450, 23597326, 27186457, 26426441, 15185800]
153 : 184390130 - [18418657, 16936677, 21208485, 21377450, 23597326, 27186457, 26426441, 33604457, 14052837]
