14,1
19,1
39,1
54,1
89,1
96,1
28,2
47,2
62,2
80,2
92,2
4,3
69,4
51,5
13,6
35,6
99,6
59,7
26,8
90,8
40,9
74,10
82,11
9,12
15,12
55,12
97,12
31,13
47,13
64,13
19,14
38,14
100,15
50,16
73,16
88,16
23,17
30,17
58,17
98,17
1,18
9,18
75,18
15,19
94,19
23,20
35,20
53,20
69,20
83,20
27,21
6,22
46,22
99,22
3,23
91,23
30,24
7,25
23,25
74,25
18,26
11,27
40,27
59,27
83,27
1,28
96,28
53,29
24,30
34,30
66,31
4,32
44,33
57,34
72,34
19,35
29,35
80,36
13,37
52,37
39,38
47,38
65,38
90,38
32,39
53,39
56,39
100,39
6,40
79,42
14,43
42,43
73,43
27,44
35,44
51,44
95,44
2,45
62,47
98,47
39,48
75,48
16,49
82,49
7,50
24,50
33,50
42,51
56,51
92,51
38,52
69,53
99,53
75,54
16,55
49,55
3,57
44,57
56,57
6,58
63,58
92,58
31,59
83,59
21,60
2,61
70,62
75,62
11,64
43,64
57,64
60,64
66,64
5,65
27,65
97,65
17,66
35,66
86,66
91,66
79,68
60,70
69,70
88,70
94,70
11,71
20,72
28,72
49,72
1,73
89,73
4,74
42,74
21,75
84,75
69,76
76,76
100,76
34,77
58,77
92,77
24,78
10,79
43,79
86,79
1,80
50,82
99,82
15,83
30,83
77,83
37,84
69,84
62,85
24,86
43,87
56,87
73,87
85,87
2,88
77,88
16,89
39,89
8,90
46,90
53,90
24,91
76,91
72,92
95,92
19,93
28,93
35,93
62,93
88,93
16,96
79,96
24,98
52,98
4,99
69,99
92,99
12,100
31,100
42,100
59,100
76,100
85,100
99,100
512
